id,swipe
0,r
1,l
2,r
3,r
4,l
5,r
6,l
7,r
8,r
9,r
10,r
11,r
12,l
13,r
14,r
15,r
16,r
17,r
18,r
19,r
20,l
21,r
22,r
23,l
24,r
25,r
26,r
27,r
28,r
29,r
30,r
31,r
32,r
33,r
34,l
35,r
36,r
37,l
38,l
39,r
40,r
41,r
42,r
43,r
44,l
45,r
46,r
47,r
48,r
49,l
50,r
51,l
52,l
53,r
54,r
55,r
56,r
57,r
58,r
59,l
60,r
61,r
62,l
63,r
64,r
65,r
66,r
67,r
68,r
69,r
70,r
71,r
72,r
73,r
74,l
75,r
76,r
77,l
78,r
79,r
80,r
81,r
82,r
83,r
84,r
85,r
86,r
87,r
88,r
89,r
90,r
91,r
92,r
93,r
94,r
95,r
96,r
97,l
98,r
99,r
100,r
101,r
102,r
103,r
104,r
105,r
106,r
107,r
108,r
109,r
110,r
111,r
112,r
113,r
114,r
115,r
116,r
117,r
118,l
119,r
120,r
121,r
122,r
123,l
124,r
125,l
126,r
127,r
128,l
129,r
130,l
131,r
132,r
133,r
134,l
135,l
136,r
137,r
138,r
139,l
140,l
141,r
142,r
143,r
144,r
145,r
146,l
147,l
148,r
149,l
150,r
151,l
152,l
153,r
154,r
155,l
156,r
157,r
158,r
159,l
160,r
161,l
162,r
163,l
164,r
165,l
166,r
167,r
168,r
169,r
170,l
171,l
172,r
173,r
174,r
175,r
176,r
177,r
178,r
179,r
180,r
181,r
182,l
183,r
184,r
185,l
186,r
187,r
188,r
189,r
190,l
191,r
192,r
193,r
194,l
195,r
196,r
197,r
198,r
199,r
200,r
201,l
202,r
203,r
204,r
205,r
206,r
207,r
208,r
209,l
210,l
211,l
212,l
213,l
214,r
215,r
216,r
217,r
218,r
219,r
220,r
221,r
222,r
223,r
224,l
225,l
226,r
227,l
228,r
229,r
230,r
231,r
232,r
233,r
234,r
235,l
236,r
237,r
238,l
239,r
240,l
241,r
242,r
243,r
244,r
245,r
246,l
247,r
248,l
249,r
250,l
251,r
252,l
253,l
254,l
255,l
256,l
257,l
258,l
259,l
260,r
261,r
262,r
263,r
264,l
265,l
266,r
267,l
268,r
269,r
270,l
271,r
272,l
273,r
274,l
275,l
276,l
277,l
278,l
279,l
280,r
281,l
282,l
283,r
284,l
285,l
286,l
287,r
288,r
289,l
290,l
291,l
292,r
293,r
294,r
295,l
296,l
297,l
298,l
299,l
300,l
301,l
302,l
303,r
304,l
305,l
306,l
307,r
308,l
309,l
310,r
311,l
312,l
313,l
314,l
315,l
316,l
317,r
318,l
319,l
320,l
321,r
322,l
323,r
324,l
325,l
326,l
327,r
328,r
329,l
330,r
331,r
332,r
333,r
334,l
335,l
336,r
337,r
338,l
339,l
340,r
341,l
342,r
343,l
344,r
345,l
346,r
347,r
348,l
349,l
350,r
351,l
352,l
353,l
354,l
355,l
356,r
357,r
358,l
359,r
360,l
361,r
362,r
363,l
364,l
365,r
366,l
367,l
368,l
369,l
370,r
371,l
372,l
373,r
374,r
375,l
376,l
377,l
378,l
379,l
380,l
381,l
382,r
383,l
384,l
385,l
386,r
387,l
388,r
389,r
390,l
391,r
392,l
393,l
394,l
395,r
396,l
397,l
398,l
399,l
400,r
401,l
402,r
403,l
404,l
405,l
406,r
407,r
408,r
409,l
410,l
411,r
412,l
413,r
414,r
415,r
416,r
417,l
418,l
419,l
420,r
421,l
422,r
423,l
424,l
425,r
426,l
427,l
428,l
429,l
430,r
431,r
432,l
433,l
434,l
435,l
436,r
437,l
438,r
439,l
440,r
441,r
442,l
443,l
444,l
445,r
446,l
447,r
448,l
449,l
450,l
451,l
452,l
453,l
454,r
455,r
456,l
457,l
458,l
459,r
460,l
461,l
462,l
463,l
464,r
465,l
466,l
467,l
468,l
469,l
470,l
471,l
472,l
473,l
474,r
475,l
476,r
477,r
478,r
479,l
480,l
481,l
482,r
483,r
484,l
485,l
486,l
487,l
488,r
489,r
490,l
491,r
492,r
493,l
494,r
495,r
496,l
497,r
498,l
499,l
500,l
501,l
502,l
503,r
504,l
505,l
506,r
507,r
508,l
509,l
510,l
511,l
512,l
513,l
514,r
515,l
516,l
517,l
518,l
519,r
520,l
521,r
522,l
523,r
524,l
525,l
526,r
527,l
528,l
529,l
530,l
531,l
532,l
533,l
534,l
535,l
536,l
537,l
538,l
539,l
540,r
541,r
542,r
543,l
544,l
545,r
546,l
547,l
548,l
549,l
550,l
551,l
552,l
553,l
554,l
555,l
556,l
557,l
558,l
559,l
560,l
561,r
562,l
563,l
564,l
565,l
566,r
567,l
568,r
569,r
570,l
571,r
572,r
573,l
574,r
575,l
576,l
577,l
578,r
579,r
580,l
581,r
582,l
583,r
584,l
585,l
586,l
587,r
588,r
589,l
590,l
591,r
592,l
593,l
594,l
595,l
596,l
597,l
598,l
599,l
600,l
601,l
602,l
603,l
604,l
605,l
606,l
607,r
608,l
609,l
610,l
611,l
612,r
613,l
614,l
615,r
616,l
617,r
618,l
619,l
620,l
621,r
622,r
623,l
624,r
625,l
626,l
627,l
628,r
629,l
630,r
631,l
632,l
633,r
634,l
635,l
636,r
637,l
638,l
639,r
640,l
641,l
642,r
643,l
644,l
645,l
646,l
647,r
648,l
649,l
650,l
651,l
652,l
653,r
654,l
655,l
656,l
657,l
658,l
659,l
660,l
661,l
662,r
663,l
664,l
665,l
666,l
667,r
668,r
669,l
670,l
671,l
672,l
673,l
674,l
675,l
676,r
677,r
678,l
679,l
680,r
681,l
682,l
683,l
684,l
685,l
686,r
687,l
688,l
689,l
690,l
691,l
692,l
693,l
694,l
695,l
696,r
697,r
698,r
699,l
700,l
701,r
702,r
703,r
704,r
705,r
706,l
707,r
708,l
709,l
710,l
711,r
712,l
713,l
714,l
715,l
716,r
717,l
718,r
719,l
720,l
721,l
722,r
723,r
724,l
725,l
726,r
727,l
728,l
729,l
730,r
731,l
732,l
733,r
734,l
735,l
736,l
737,r
738,l
739,r
740,r
741,l
742,r
743,l
744,l
745,l
746,l
747,l
748,r
749,l
750,l
751,l
752,l
753,r
754,r
755,l
756,r
757,l
758,r
759,r
760,r
761,l
762,l
763,r
764,l
765,l
766,r
767,l
768,r
769,l
770,r
771,l
772,r
773,l
774,l
775,l
776,l
777,l
778,l
779,l
780,r
781,l
782,l
