id,human,subject_ambiguous,"race_(b,w,a,l,m,o)",kids,dog,cat,slutty,heavy_makeup,age_in_decades,large_breasts,fat,straight_hair,blonde_hair,short_hair,religion,filter,can_see_face
1,1,0,l,1,1,0,0,0,2,0,0,0,1,0,0,0,1
5,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,1,1
9,1,0,a,0,0,0,0,0,2,0,0,1,0,0,0,0,1
13,1,0,w,0,0,0,0,0,2,0,0,1,1,0,0,0,1
17,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
21,1,0,w,0,0,0,0,0,2,0,0,1,0,1,0,0,1
25,1,0,m,0,0,0,0,1,2,1,1,1,0,0,0,0,1
29,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
33,1,0,l,0,0,0,0,0,2,0,0,1,0,0,0,0,1
37,1,0,w,0,0,0,1,0,2,0,0,1,0,0,0,0,0
41,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
45,1,0,l,0,0,0,0,0,2,0,0,1,0,0,0,0,1
49,0,,,,,,,,,,,,,,,,
53,1,0,w,0,0,0,1,1,2,1,0,1,0,1,0,0,1
57,1,0,w,0,0,0,0,0,2,0,0,1,0,1,0,1,1
61,1,0,w,0,0,0,1,0,2,0,0,1,1,0,0,0,1
65,1,0,l,0,0,0,0,1,2,1,1,0,0,1,0,0,1
69,1,1,,,,,,,,,,,,,,,
73,1,0,w,0,0,0,0,1,2,0,1,1,1,0,0,0,1
77,0,,,,,,,,,,,,,,,,
81,1,0,b,0,0,0,0,0,2,0,1,0,0,0,0,0,1
85,1,0,w,0,0,0,0,1,1,0,0,1,0,1,0,0,1
89,1,0,w,0,0,0,0,1,1,0,0,1,0,0,0,1,1
93,1,0,w,0,0,0,0,0,2,0,1,0,0,0,0,0,1
97,0,,,,,,,,,,,,,,,,
101,1,0,w,0,0,0,0,1,1,0,0,1,0,0,0,0,1
105,1,0,l,0,0,0,0,1,2,1,1,1,0,1,0,1,1
109,1,0,l,0,0,0,1,1,2,0,0,1,0,0,0,0,1
113,1,0,a,0,0,0,0,0,1,0,0,1,0,0,0,1,1
117,1,0,w,0,0,0,1,0,2,0,0,1,1,1,0,0,1
121,1,0,w,0,0,0,0,0,2,0,0,1,1,0,0,1,1
125,1,0,w,0,0,0,0,0,2,0,1,1,0,1,0,0,1
129,1,0,w,0,0,0,1,0,2,0,0,1,0,0,0,0,1
133,1,0,w,0,0,0,0,0,2,1,1,1,1,0,0,0,1
137,1,0,m,0,0,0,1,0,1,0,0,1,0,1,0,0,1
141,1,0,b,0,0,0,0,0,2,1,1,0,0,1,0,0,1
145,1,0,w,0,0,0,0,0,1,0,0,1,1,1,0,0,1
149,0,,,,,,,,,,,,,,,,
153,1,0,a,0,0,0,0,1,2,0,0,1,0,1,0,0,1
157,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
161,1,0,w,0,0,0,1,1,2,0,0,1,0,0,0,0,1
165,1,1,,,,,,,,,,,,,,,
169,1,0,a,0,0,0,0,0,2,0,0,1,0,1,0,0,1
173,1,0,w,0,0,0,1,1,2,1,0,1,1,0,0,1,1
177,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
181,1,0,w,0,0,0,0,0,2,0,0,1,0,1,0,1,1
185,1,1,,,,,,,,,,,,,,,
189,1,0,l,0,0,0,0,0,2,0,0,1,0,0,0,1,1
193,1,1,,,,,,,,,,,,,,,
