algname,n_train,n_users,acc
SVD,10,5,0.796
SVD,20,5,0.788
SVD,30,5,0.8
SVD,40,5,0.808
SVD,50,5,0.808
SVD,60,5,0.78
SVD,70,5,0.824
SVD,80,5,0.772
SVD,90,5,0.784
SVD,100,5,0.788
SVD,110,5,0.812
SVD,120,5,0.808
SVD,130,5,0.8
SVD,140,5,0.812
SVD,150,5,0.784
SVD,160,5,0.796
SVD,170,5,0.816
SVD,180,5,0.788
SVD,190,5,0.788
SVD,200,5,0.776
SVD,10,10,0.792
SVD,20,10,0.82
SVD,30,10,0.84
SVD,40,10,0.822
SVD,50,10,0.828
SVD,60,10,0.842
SVD,70,10,0.82
SVD,80,10,0.83
SVD,90,10,0.814
SVD,100,10,0.834
SVD,110,10,0.832
SVD,120,10,0.836
SVD,130,10,0.864
SVD,140,10,0.81
SVD,150,10,0.846
SVD,160,10,0.832
SVD,170,10,0.856
SVD,180,10,0.858
SVD,190,10,0.838
SVD,200,10,0.818
SVD,10,25,0.8056
SVD,20,25,0.8224
SVD,30,25,0.8104
SVD,40,25,0.8248
SVD,50,25,0.8192
SVD,60,25,0.8
SVD,70,25,0.8024
SVD,80,25,0.8048
SVD,90,25,0.82
SVD,100,25,0.8264
SVD,110,25,0.8144
SVD,120,25,0.8144
SVD,130,25,0.8216
SVD,140,25,0.8056
SVD,150,25,0.828
SVD,160,25,0.828
SVD,170,25,0.816
SVD,180,25,0.8168
SVD,190,25,0.812
SVD,200,25,0.812
SVD,10,50,0.7364
SVD,20,50,0.7852
SVD,30,50,0.7824
SVD,40,50,0.7888
SVD,50,50,0.7916
SVD,60,50,0.7868
SVD,70,50,0.7996
SVD,80,50,0.7956
SVD,90,50,0.7956
SVD,100,50,0.806
SVD,110,50,0.7992
SVD,120,50,0.7972
SVD,130,50,0.8004
SVD,140,50,0.8016
SVD,150,50,0.8044
SVD,160,50,0.8
SVD,170,50,0.8092
SVD,180,50,0.8064
SVD,190,50,0.8068
SVD,200,50,0.8056
SVD,10,100,0.7606
SVD,20,100,0.7822
SVD,30,100,0.7964
SVD,40,100,0.7926
SVD,50,100,0.802
SVD,60,100,0.7966
SVD,70,100,0.8034
SVD,80,100,0.806
SVD,90,100,0.8048
SVD,100,100,0.8012
SVD,110,100,0.8086
SVD,120,100,0.807
SVD,130,100,0.8034
SVD,140,100,0.8108
SVD,150,100,0.8072
SVD,160,100,0.8134
SVD,170,100,0.8182
SVD,180,100,0.8166
SVD,190,100,0.8228
SVD,200,100,0.8306
SVD,10,250,0.75184
SVD,20,250,0.7852
SVD,30,250,0.78336
SVD,40,250,0.78936
SVD,50,250,0.78784
SVD,60,250,0.78984
SVD,70,250,0.79408
SVD,80,250,0.796
SVD,90,250,0.79856
SVD,100,250,0.80448
SVD,110,250,0.8
SVD,120,250,0.81472
SVD,130,250,0.81024
SVD,140,250,0.82216
SVD,150,250,0.8208
SVD,160,250,0.82496
SVD,170,250,0.84096
SVD,180,250,0.84176
SVD,190,250,0.8424
SVD,200,250,0.85552
SVD,10,500,0.7376
SVD,20,500,0.76896
SVD,30,500,0.77728
SVD,40,500,0.77724
SVD,50,500,0.78452
SVD,60,500,0.789
SVD,70,500,0.78548
SVD,80,500,0.79072
SVD,90,500,0.80112
SVD,100,500,0.806
SVD,110,500,0.80204
SVD,120,500,0.81864
SVD,130,500,0.82484
SVD,140,500,0.83364
SVD,150,500,0.84048
SVD,160,500,0.84616
SVD,170,500,0.85388
SVD,180,500,0.85604
SVD,190,500,0.86276
SVD,200,500,0.86076
SVD,10,1000,0.7441
SVD,20,1000,0.77328
SVD,30,1000,0.78212
SVD,40,1000,0.78512
SVD,50,1000,0.78934
SVD,60,1000,0.79368
SVD,70,1000,0.79786
SVD,80,1000,0.80208
SVD,90,1000,0.81294
SVD,100,1000,0.8182
SVD,110,1000,0.83018
SVD,120,1000,0.83964
SVD,130,1000,0.84612
SVD,140,1000,0.85618
SVD,150,1000,0.85972
SVD,160,1000,0.86414
SVD,170,1000,0.86836
SVD,180,1000,0.87002
SVD,190,1000,0.88122
SVD,200,1000,0.8803
NMF,10,5,0.748
NMF,20,5,0.72
NMF,30,5,0.7
NMF,40,5,0.692
NMF,50,5,0.676
NMF,60,5,0.656
NMF,70,5,0.68
NMF,80,5,0.664
NMF,90,5,0.736
NMF,100,5,0.72
NMF,110,5,0.688
NMF,120,5,0.648
NMF,130,5,0.664
NMF,140,5,0.68
NMF,150,5,0.728
NMF,160,5,0.64
NMF,170,5,0.68
NMF,180,5,0.704
NMF,190,5,0.768
NMF,200,5,0.736
NMF,10,10,0.658
NMF,20,10,0.584
NMF,30,10,0.67
NMF,40,10,0.634
NMF,50,10,0.644
NMF,60,10,0.728
NMF,70,10,0.768
NMF,80,10,0.768
NMF,90,10,0.768
NMF,100,10,0.752
NMF,110,10,0.78
NMF,120,10,0.808
NMF,130,10,0.814
NMF,140,10,0.782
NMF,150,10,0.828
NMF,160,10,0.816
NMF,170,10,0.834
NMF,180,10,0.856
NMF,190,10,0.848
NMF,200,10,0.824
NMF,10,25,0.6624
NMF,20,25,0.6728
NMF,30,25,0.7416
NMF,40,25,0.76
NMF,50,25,0.784
NMF,60,25,0.7824
NMF,70,25,0.7976
NMF,80,25,0.8016
NMF,90,25,0.8184
NMF,100,25,0.82
NMF,110,25,0.8312
NMF,120,25,0.8392
NMF,130,25,0.8488
NMF,140,25,0.8496
NMF,150,25,0.8624
NMF,160,25,0.856
NMF,170,25,0.8344
NMF,180,25,0.8456
NMF,190,25,0.8552
NMF,200,25,0.8384
NMF,10,50,0.6828
NMF,20,50,0.7144
NMF,30,50,0.7556
NMF,40,50,0.77
NMF,50,50,0.796
NMF,60,50,0.796
NMF,70,50,0.8156
NMF,80,50,0.812
NMF,90,50,0.8156
NMF,100,50,0.826
NMF,110,50,0.8232
NMF,120,50,0.8432
NMF,130,50,0.8352
NMF,140,50,0.8372
NMF,150,50,0.8392
NMF,160,50,0.848
NMF,170,50,0.8428
NMF,180,50,0.838
NMF,190,50,0.8364
NMF,200,50,0.8408
NMF,10,100,0.6986
NMF,20,100,0.7538
NMF,30,100,0.7864
NMF,40,100,0.7974
NMF,50,100,0.819
NMF,60,100,0.8168
NMF,70,100,0.8282
NMF,80,100,0.8208
NMF,90,100,0.8306
NMF,100,100,0.8316
NMF,110,100,0.8252
NMF,120,100,0.8296
NMF,130,100,0.8368
NMF,140,100,0.8334
NMF,150,100,0.84
NMF,160,100,0.8288
NMF,170,100,0.8354
NMF,180,100,0.8414
NMF,190,100,0.824
NMF,200,100,0.8462
NMF,10,250,0.73144
NMF,20,250,0.7808
NMF,30,250,0.80312
NMF,40,250,0.8076
NMF,50,250,0.81064
NMF,60,250,0.81712
NMF,70,250,0.81576
NMF,80,250,0.81328
NMF,90,250,0.81968
NMF,100,250,0.81952
NMF,110,250,0.82152
NMF,120,250,0.82456
NMF,130,250,0.81792
NMF,140,250,0.83208
NMF,150,250,0.82264
NMF,160,250,0.82352
NMF,170,250,0.82872
NMF,180,250,0.83208
NMF,190,250,0.83128
NMF,200,250,0.82328
NMF,10,500,0.74884
NMF,20,500,0.76936
NMF,30,500,0.79404
NMF,40,500,0.79876
NMF,50,500,0.80032
NMF,60,500,0.81084
NMF,70,500,0.8062
NMF,80,500,0.81384
NMF,90,500,0.81708
NMF,100,500,0.81736
NMF,110,500,0.80876
NMF,120,500,0.80636
NMF,130,500,0.81768
NMF,140,500,0.81236
NMF,150,500,0.81908
NMF,160,500,0.8182
NMF,170,500,0.817
NMF,180,500,0.80964
NMF,190,500,0.81272
NMF,200,500,0.81528
NMF,10,1000,0.75124
NMF,20,1000,0.78122
NMF,30,1000,0.8005
NMF,40,1000,0.8096
NMF,50,1000,0.80068
NMF,60,1000,0.81596
NMF,70,1000,0.79984
