algname,n_train,n_users,acc
SVD,10,5,0.78
SVD,20,5,0.78
SVD,30,5,0.78
SVD,40,5,0.78
SVD,50,5,0.78
SVD,60,5,0.78
SVD,70,5,0.78
SVD,80,5,0.78
SVD,90,5,0.78
SVD,100,5,0.78
SVD,110,5,0.78
SVD,120,5,0.78
SVD,130,5,0.78
SVD,140,5,0.78
SVD,150,5,0.78
SVD,160,5,0.78
SVD,170,5,0.78
SVD,180,5,0.78
SVD,190,5,0.78
SVD,200,5,0.78
SVD,10,10,0.76
SVD,20,10,0.76
SVD,30,10,0.76
SVD,40,10,0.76
SVD,50,10,0.76
SVD,60,10,0.76
SVD,70,10,0.76
SVD,80,10,0.76
SVD,90,10,0.76
SVD,100,10,0.76
SVD,110,10,0.76
SVD,120,10,0.76
SVD,130,10,0.76
SVD,140,10,0.76
SVD,150,10,0.76
SVD,160,10,0.76
SVD,170,10,0.76
SVD,180,10,0.76
SVD,190,10,0.76
SVD,200,10,0.76
SVD,10,25,0.784
SVD,20,25,0.772
SVD,30,25,0.784
SVD,40,25,0.76
SVD,50,25,0.748
SVD,60,25,0.784
SVD,70,25,0.76
SVD,80,25,0.76
SVD,90,25,0.784
SVD,100,25,0.784
SVD,110,25,0.784
SVD,120,25,0.784
SVD,130,25,0.784
SVD,140,25,0.784
SVD,150,25,0.784
SVD,160,25,0.784
SVD,170,25,0.784
SVD,180,25,0.784
SVD,190,25,0.784
SVD,200,25,0.76
SVD,10,50,0.768
SVD,20,50,0.772
SVD,30,50,0.762
SVD,40,50,0.75
SVD,50,50,0.752
SVD,60,50,0.75
SVD,70,50,0.762
SVD,80,50,0.75
SVD,90,50,0.758
SVD,100,50,0.762
SVD,110,50,0.758
SVD,120,50,0.758
SVD,130,50,0.758
SVD,140,50,0.762
SVD,150,50,0.758
SVD,160,50,0.758
SVD,170,50,0.746
SVD,180,50,0.758
SVD,190,50,0.762
SVD,200,50,0.762
SVD,10,100,0.779
SVD,20,100,0.777
SVD,30,100,0.786
SVD,40,100,0.785
SVD,50,100,0.786
SVD,60,100,0.793
SVD,70,100,0.783
SVD,80,100,0.786
SVD,90,100,0.787
SVD,100,100,0.791
SVD,110,100,0.785
SVD,120,100,0.785
SVD,130,100,0.791
SVD,140,100,0.791
SVD,150,100,0.791
SVD,160,100,0.791
SVD,170,100,0.791
SVD,180,100,0.791
SVD,190,100,0.791
SVD,200,100,0.791
SVD,10,250,0.7788
SVD,20,250,0.7924
SVD,30,250,0.7924
SVD,40,250,0.7872
SVD,50,250,0.7848
SVD,60,250,0.7936
SVD,70,250,0.7876
SVD,80,250,0.7928
SVD,90,250,0.7924
SVD,100,250,0.7924
SVD,110,250,0.7912
SVD,120,250,0.7904
SVD,130,250,0.7916
SVD,140,250,0.7912
SVD,150,250,0.7916
SVD,160,250,0.7908
SVD,170,250,0.7904
SVD,180,250,0.7912
SVD,190,250,0.79
SVD,200,250,0.7904
SVD,10,500,0.7634
SVD,20,500,0.7702
SVD,30,500,0.7778
SVD,40,500,0.7764
SVD,50,500,0.775
SVD,60,500,0.7784
SVD,70,500,0.7766
SVD,80,500,0.7788
SVD,90,500,0.7788
SVD,100,500,0.779
SVD,110,500,0.7796
SVD,120,500,0.7776
SVD,130,500,0.7784
SVD,140,500,0.7784
SVD,150,500,0.7778
SVD,160,500,0.7782
SVD,170,500,0.7794
SVD,180,500,0.778
SVD,190,500,0.7786
SVD,200,500,0.7776
SVD,10,1000,0.7598
SVD,20,1000,0.7679
SVD,30,1000,0.7723
SVD,40,1000,0.7737
SVD,50,1000,0.7705
SVD,60,1000,0.7729
SVD,70,1000,0.7734
SVD,80,1000,0.7725
SVD,90,1000,0.7773
SVD,100,1000,0.7779
SVD,110,1000,0.7779
SVD,120,1000,0.7757
SVD,130,1000,0.7762
SVD,140,1000,0.7768
SVD,150,1000,0.7759
SVD,160,1000,0.7752
SVD,170,1000,0.7743
SVD,180,1000,0.7751
SVD,190,1000,0.7725
SVD,200,1000,0.7742
NMF,10,5,0.72
NMF,20,5,0.72
NMF,30,5,0.72
NMF,40,5,0.72
NMF,50,5,0.72
NMF,60,5,0.72
NMF,70,5,0.72
NMF,80,5,0.72
NMF,90,5,0.72
NMF,100,5,0.72
NMF,110,5,0.72
NMF,120,5,0.72
NMF,130,5,0.72
NMF,140,5,0.72
NMF,150,5,0.72
NMF,160,5,0.72
NMF,170,5,0.72
NMF,180,5,0.72
NMF,190,5,0.72
NMF,200,5,0.72
NMF,10,10,0.55
NMF,20,10,0.55
NMF,30,10,0.55
NMF,40,10,0.55
NMF,50,10,0.55
NMF,60,10,0.55
NMF,70,10,0.55
NMF,80,10,0.55
NMF,90,10,0.55
NMF,100,10,0.55
NMF,110,10,0.55
NMF,120,10,0.55
NMF,130,10,0.55
NMF,140,10,0.55
NMF,150,10,0.55
NMF,160,10,0.55
NMF,170,10,0.55
NMF,180,10,0.55
NMF,190,10,0.55
NMF,200,10,0.55
NMF,10,25,0.692
NMF,20,25,0.692
NMF,30,25,0.692
NMF,40,25,0.692
NMF,50,25,0.692
NMF,60,25,0.692
NMF,70,25,0.692
NMF,80,25,0.692
NMF,90,25,0.692
NMF,100,25,0.692
NMF,110,25,0.692
NMF,120,25,0.692
NMF,130,25,0.692
NMF,140,25,0.692
NMF,150,25,0.692
NMF,160,25,0.692
NMF,170,25,0.692
NMF,180,25,0.692
NMF,190,25,0.692
NMF,200,25,0.692
NMF,10,50,0.644
NMF,20,50,0.644
NMF,30,50,0.644
NMF,40,50,0.644
NMF,50,50,0.644
NMF,60,50,0.644
NMF,70,50,0.644
NMF,80,50,0.644
NMF,90,50,0.644
NMF,100,50,0.644
NMF,110,50,0.644
NMF,120,50,0.644
NMF,130,50,0.644
NMF,140,50,0.644
NMF,150,50,0.644
NMF,160,50,0.644
NMF,170,50,0.644
NMF,180,50,0.644
NMF,190,50,0.644
NMF,200,50,0.644
NMF,10,100,0.65
NMF,20,100,0.65
NMF,30,100,0.65
NMF,40,100,0.65
NMF,50,100,0.65
NMF,60,100,0.65
NMF,70,100,0.65
NMF,80,100,0.65
NMF,90,100,0.65
NMF,100,100,0.65
NMF,110,100,0.65
NMF,120,100,0.65
NMF,130,100,0.65
NMF,140,100,0.65
NMF,150,100,0.65
NMF,160,100,0.65
NMF,170,100,0.65
NMF,180,100,0.65
NMF,190,100,0.65
NMF,200,100,0.65
NMF,10,250,0.6308
NMF,20,250,0.6308
NMF,30,250,0.6308
NMF,40,250,0.6308
NMF,50,250,0.6308
NMF,60,250,0.6308
NMF,70,250,0.6308
NMF,80,250,0.6308
NMF,90,250,0.6308
NMF,100,250,0.6308
NMF,110,250,0.6308
NMF,120,250,0.6308
NMF,130,250,0.6308
NMF,140,250,0.6308
NMF,150,250,0.6308
NMF,160,250,0.6308
NMF,170,250,0.6308
NMF,180,250,0.6308
NMF,190,250,0.6308
NMF,200,250,0.6308
NMF,10,500,0.6274
NMF,20,500,0.6274
NMF,30,500,0.6274
NMF,40,500,0.6274
NMF,50,500,0.6274
NMF,60,500,0.6274
NMF,70,500,0.6274
NMF,80,500,0.6274
NMF,90,500,0.6274
NMF,100,500,0.6274
NMF,110,500,0.6274
NMF,120,500,0.6274
NMF,130,500,0.6274
NMF,140,500,0.6274
NMF,150,500,0.6274
NMF,160,500,0.6274
NMF,170,500,0.6274
NMF,180,500,0.6274
NMF,190,500,0.6274
NMF,200,500,0.6274
NMF,10,1000,0.619
NMF,20,1000,0.619
NMF,30,1000,0.619
NMF,40,1000,0.619
NMF,50,1000,0.619
NMF,60,1000,0.619
