id,swipe
1,l
2,l
3,l
4,l
5,r
6,l
7,l
8,l
9,l
10,r
11,l
12,l
13,l
14,r
15,r
16,r
17,l
18,l
19,l
20,r
21,l
22,r
23,r
24,r
25,l
26,l
27,l
28,l
29,r
30,l
31,l
32,l
33,l
34,l
35,l
36,r
37,l
38,r
39,l
40,r
41,l
42,l
43,l
44,r
45,r
46,r
47,l
48,l
49,l
50,l
51,r
52,r
53,l
54,l
55,l
56,r
57,l
58,l
59,l
60,l
61,l
62,r
63,l
64,l
65,l
66,l
67,l
68,r
69,l
70,l
71,l
72,l
73,r
74,l
75,l
76,r
77,l
78,l
79,l
80,r
81,l
82,l
83,l
84,l
85,l
86,r
87,l
88,r
89,r
90,l
91,r
92,l
93,r
94,l
95,l
96,l
97,l
98,l
99,l
100,r
101,l
102,r
103,l
104,l
105,r
106,l
107,l
108,l
109,r
110,l
111,l
112,l
113,l
114,l
115,l
116,r
117,l
118,r
119,l
120,l
121,l
122,r
123,l
124,l
125,r
126,l
127,l
128,r
129,l
130,r
131,l
132,l
133,l
134,l
135,l
136,l
137,r
138,r
139,l
140,l
141,l
142,l
143,l
144,l
145,l
146,l
147,l
148,r
149,l
150,l
151,r
152,l
153,l
154,r
155,l
156,l
157,l
158,r
159,l
160,l
161,r
162,l
163,l
164,r
165,l
166,r
167,r
168,r
169,l
170,r
171,l
172,r
173,r
174,l
175,r
176,r
177,l
178,l
179,l
180,l
181,l
182,l
183,l
184,r
185,r
186,l
187,l
188,r
189,l
190,l
191,l
192,l
193,l
194,l
195,r
196,l
197,r
198,l
199,l
200,r
201,l
202,l
203,l
204,l
205,l
206,l
207,r
208,l
209,l
210,l
211,l
212,l
213,l
214,l
215,r
216,l
217,l
218,l
219,l
220,l
221,l
222,r
223,l
224,r
225,l
226,r
227,r
228,l
229,l
230,l
231,r
232,l
233,r
234,l
235,l
236,l
237,l
238,r
239,l
240,r
241,l
242,l
243,r
244,l
245,l
246,l
247,l
248,l
249,l
250,l
251,l
252,l
253,l
254,r
255,r
256,l
257,l
258,l
259,r
260,l
261,l
262,l
263,r
264,l
265,l
266,l
267,l
268,l
269,r
270,l
271,l
272,r
273,r
274,l
275,l
276,l
277,l
278,l
279,l
280,l
281,l
282,l
283,l
284,l
285,l
286,r
287,l
288,l
289,l
290,l
291,l
292,r
293,l
294,l
295,r
296,r
297,l
298,l
299,l
300,l
301,r
302,r
303,r
304,l
305,r
306,l
307,l
308,l
309,r
310,l
311,l
312,r
313,l
314,l
315,l
316,r
317,l
318,r
319,l
320,r
321,l
322,l
323,l
324,l
325,r
326,l
327,l
328,r
329,l
330,l
331,r
332,r
333,l
334,l
335,r
336,l
337,r
338,l
339,l
340,l
341,l
342,l
343,r
344,l
345,l
346,r
347,r
348,r
349,l
350,l
351,r
352,l
353,r
354,l
355,l
356,r
357,r
358,l
359,r
360,r
361,l
362,r
363,l
364,l
365,l
366,l
367,l
368,l
369,r
370,l
371,r
372,r
373,l
374,l
375,r
376,r
377,r
378,r
379,r
380,l
381,l
382,l
383,l
384,l
385,l
386,l
387,l
388,l
389,l
390,r
391,r
392,l
393,l
394,r
395,r
396,l
397,l
398,r
399,l
400,l
401,r
402,l
403,l
404,l
405,l
406,l
407,l
408,r
409,l
410,l
411,l
412,l
413,l
414,r
415,r
416,l
417,l
418,l
419,l
420,r
421,r
422,l
423,l
424,l
425,r
426,r
427,l
428,r
429,l
430,l
431,l
432,l
433,l
434,l
435,r
436,l
437,l
